Date,Count
2013-09-24 00:00:00,66
2013-09-25 00:00:00,53
2013-09-26 00:00:00,66
2013-09-27 00:00:00,37
2013-09-28 00:00:00,93
2013-09-29 00:00:00,73
2013-09-30 00:00:00,166
2013-10-01 00:00:00,26
2013-10-02 00:00:00,134
2013-10-03 00:00:00,92
2013-10-04 00:00:00,50
2013-10-05 00:00:00,70
2013-10-06 00:00:00,95
2013-10-07 00:00:00,86
2013-10-08 00:00:00,74
2013-10-09 00:00:00,43
2013-10-10 00:00:00,63
2013-10-11 00:00:00,33
2013-10-12 00:00:00,75
2013-10-13 00:00:00,51
2013-10-14 00:00:00,77
2013-10-15 00:00:00,67
2013-10-16 00:00:00,58
2013-10-17 00:00:00,48
2013-10-18 00:00:00,39
2013-10-19 00:00:00,40
2013-10-20 00:00:00,134
2013-10-21 00:00:00,84
2013-10-22 00:00:00,114
2013-10-23 00:00:00,114
2013-10-24 00:00:00,66
2013-10-25 00:00:00,88
2013-10-26 00:00:00,101
2013-10-27 00:00:00,234
2013-10-28 00:00:00,156
2013-10-29 00:00:00,139
2013-10-30 00:00:00,111
2013-10-31 00:00:00,95
2013-11-01 00:00:00,171
2013-11-02 00:00:00,124
2013-11-03 00:00:00,94
2013-11-04 00:00:00,139
2013-11-05 00:00:00,39
2013-11-06 00:00:00,87
2013-11-07 00:00:00,73
2013-11-08 00:00:00,157
2013-11-09 00:00:00,79
2013-11-10 00:00:00,119
2013-11-11 00:00:00,343
2013-11-12 00:00:00,326
2013-11-13 00:00:00,346
2013-11-14 00:00:00,221
2013-11-15 00:00:00,77
2013-11-16 00:00:00,244
2013-11-17 00:00:00,96
2013-11-18 00:00:00,88
2013-11-19 00:00:00,129
2013-11-20 00:00:00,556
2013-11-21 00:00:00,290
2013-11-22 00:00:00,24
2013-11-23 00:00:00,65
2013-11-24 00:00:00,69
2013-11-25 00:00:00,174
2013-11-26 00:00:00,82
2013-11-27 00:00:00,73
2013-11-28 00:00:00,174
2013-11-29 00:00:00,147
2013-11-30 00:00:00,121
2013-12-01 00:00:00,80
2013-12-02 00:00:00,86
2013-12-03 00:00:00,122
2013-12-04 00:00:00,275
2013-12-05 00:00:00,82
2013-12-06 00:00:00,101
2013-12-07 00:00:00,112
2013-12-08 00:00:00,144
2013-12-09 00:00:00,79
2013-12-10 00:00:00,153
2013-12-11 00:00:00,150
2013-12-12 00:00:00,167
2013-12-13 00:00:00,91
2013-12-14 00:00:00,116
2013-12-15 00:00:00,120
2013-12-16 00:00:00,169
2013-12-17 00:00:00,86
2013-12-18 00:00:00,104
2013-12-19 00:00:00,129
2013-12-20 00:00:00,87
2013-12-21 00:00:00,45
2013-12-22 00:00:00,3
2013-12-23 00:00:00,58
2013-12-24 00:00:00,74
2013-12-25 00:00:00,232
2013-12-26 00:00:00,159
2013-12-27 00:00:00,148
2013-12-28 00:00:00,137
2013-12-29 00:00:00,126
2013-12-30 00:00:00,115
2013-12-31 00:00:00,104
2014-01-01 00:00:00,93
2014-01-02 00:00:00,82
2014-01-03 00:00:00,71
2014-01-04 00:00:00,151
2014-01-05 00:00:00,166
2014-01-06 00:00:00,256
2014-01-07 00:00:00,231
2014-01-08 00:00:00,264
2014-01-09 00:00:00,360
2014-01-10 00:00:00,178
2014-01-11 00:00:00,194
2014-01-12 00:00:00,242
2014-01-13 00:00:00,250
2014-01-14 00:00:00,180
2014-01-15 00:00:00,270
2014-01-16 00:00:00,226
2014-01-17 00:00:00,198
2014-01-18 00:00:00,171
2014-01-19 00:00:00,143
2014-01-20 00:00:00,116
2014-01-21 00:00:00,244
2014-01-22 00:00:00,158
2014-01-23 00:00:00,116
2014-01-24 00:00:00,100
2014-01-25 00:00:00,26
2014-01-26 00:00:00,62
2014-01-27 00:00:00,98
2014-01-28 00:00:00,132
2014-01-29 00:00:00,116
2014-01-30 00:00:00,156
2014-01-31 00:00:00,142
2014-02-01 00:00:00,86
2014-02-02 00:00:00,120
2014-02-03 00:00:00,159
2014-02-04 00:00:00,165
2014-02-05 00:00:00,225
2014-02-06 00:00:00,336
2014-02-07 00:00:00,228
2014-02-08 00:00:00,189
2014-02-09 00:00:00,154
2014-02-10 00:00:00,120
2014-02-11 00:00:00,300
2014-02-12 00:00:00,58
2014-02-13 00:00:00,147
2014-02-14 00:00:00,63
2014-02-15 00:00:00,165
2014-02-16 00:00:00,77
2014-02-17 00:00:00,14
2014-02-18 00:00:00,31
2014-02-19 00:00:00,49
2014-02-20 00:00:00,67
2014-02-21 00:00:00,68
2014-02-22 00:00:00,142
2014-02-23 00:00:00,200
2014-02-24 00:00:00,129
