Date,Count
2013-09-24 00:00:00,37
2013-09-25 00:00:00,92
2013-09-26 00:00:00,98
2013-09-27 00:00:00,60
2013-09-28 00:00:00,178
2013-09-29 00:00:00,203
2013-09-30 00:00:00,177
2013-10-01 00:00:00,45
2013-10-02 00:00:00,92
2013-10-03 00:00:00,75
2013-10-04 00:00:00,58
2013-10-05 00:00:00,51
2013-10-06 00:00:00,50
2013-10-07 00:00:00,122
2013-10-08 00:00:00,123
2013-10-09 00:00:00,66
2013-10-10 00:00:00,95
2013-10-11 00:00:00,95
2013-10-12 00:00:00,71
2013-10-13 00:00:00,101
2013-10-14 00:00:00,702
2013-10-15 00:00:00,549
2013-10-16 00:00:00,396
2013-10-17 00:00:00,243
2013-10-18 00:00:00,90
2013-10-19 00:00:00,118
2013-10-20 00:00:00,74
2013-10-21 00:00:00,69
2013-10-22 00:00:00,80
2013-10-23 00:00:00,67
2013-10-24 00:00:00,31
2013-10-25 00:00:00,153
2013-10-26 00:00:00,48
2013-10-27 00:00:00,43
2013-10-28 00:00:00,45
2013-10-29 00:00:00,78
2013-10-30 00:00:00,46
2013-10-31 00:00:00,60
2013-11-01 00:00:00,36
2013-11-02 00:00:00,46
2013-11-03 00:00:00,105
2013-11-04 00:00:00,78
2013-11-05 00:00:00,14
2013-11-06 00:00:00,48
2013-11-07 00:00:00,84
2013-11-08 00:00:00,83
2013-11-09 00:00:00,162
2013-11-10 00:00:00,45
2013-11-11 00:00:00,80
2013-11-12 00:00:00,75
2013-11-13 00:00:00,296
2013-11-14 00:00:00,94
2013-11-15 00:00:00,189
2013-11-16 00:00:00,105
2013-11-17 00:00:00,353
2013-11-18 00:00:00,463
2013-11-19 00:00:00,1161
2013-11-20 00:00:00,344
2013-11-21 00:00:00,191
2013-11-22 00:00:00,39
2013-11-23 00:00:00,54
2013-11-24 00:00:00,77
2013-11-25 00:00:00,50
2013-11-26 00:00:00,87
2013-11-27 00:00:00,66
2013-11-28 00:00:00,30
2013-11-29 00:00:00,39
2013-11-30 00:00:00,50
2013-12-01 00:00:00,43
2013-12-02 00:00:00,35
2013-12-03 00:00:00,53
2013-12-04 00:00:00,104
2013-12-05 00:00:00,160
2013-12-06 00:00:00,1193
2013-12-07 00:00:00,360
2013-12-08 00:00:00,152
2013-12-09 00:00:00,84
2013-12-10 00:00:00,96
2013-12-11 00:00:00,81
2013-12-12 00:00:00,82
2013-12-13 00:00:00,63
2013-12-14 00:00:00,57
2013-12-15 00:00:00,32
2013-12-16 00:00:00,74
2013-12-17 00:00:00,104
2013-12-18 00:00:00,100
2013-12-19 00:00:00,59
2013-12-20 00:00:00,41
2013-12-21 00:00:00,24
2013-12-22 00:00:00,7
2013-12-23 00:00:00,852
2013-12-24 00:00:00,158
2013-12-25 00:00:00,320
2013-12-26 00:00:00,91
2013-12-27 00:00:00,90
2013-12-28 00:00:00,89
2013-12-29 00:00:00,88
2013-12-30 00:00:00,88
2013-12-31 00:00:00,87
2014-01-01 00:00:00,86
2014-01-02 00:00:00,85
2014-01-03 00:00:00,85
2014-01-04 00:00:00,63
2014-01-05 00:00:00,91
2014-01-06 00:00:00,87
2014-01-07 00:00:00,86
2014-01-08 00:00:00,169
2014-01-09 00:00:00,126
2014-01-10 00:00:00,136
2014-01-11 00:00:00,110
2014-01-12 00:00:00,206
2014-01-13 00:00:00,264
2014-01-14 00:00:00,266
2014-01-15 00:00:00,456
2014-01-16 00:00:00,324
2014-01-17 00:00:00,267
2014-01-18 00:00:00,210
2014-01-19 00:00:00,153
2014-01-20 00:00:00,96
2014-01-21 00:00:00,134
2014-01-22 00:00:00,108
2014-01-23 00:00:00,54
2014-01-24 00:00:00,110
2014-01-25 00:00:00,16
2014-01-26 00:00:00,52
2014-01-27 00:00:00,88
2014-01-28 00:00:00,276
2014-01-29 00:00:00,256
2014-01-30 00:00:00,182
2014-01-31 00:00:00,168
2014-02-01 00:00:00,236
2014-02-02 00:00:00,174
2014-02-03 00:00:00,230
2014-02-04 00:00:00,165
2014-02-05 00:00:00,156
2014-02-06 00:00:00,228
2014-02-07 00:00:00,147
2014-02-08 00:00:00,117
2014-02-09 00:00:00,138
2014-02-10 00:00:00,159
2014-02-11 00:00:00,48
2014-02-12 00:00:00,87
2014-02-13 00:00:00,75
2014-02-14 00:00:00,60
2014-02-15 00:00:00,60
2014-02-16 00:00:00,61
2014-02-17 00:00:00,15
2014-02-18 00:00:00,44
2014-02-19 00:00:00,73
2014-02-20 00:00:00,102
2014-02-21 00:00:00,146
2014-02-22 00:00:00,160
2014-02-23 00:00:00,91
2014-02-24 00:00:00,63
