KeyWord,Datetime,Count
Stephenville,2013-09-25,5
Stephenville,2013-09-27,4
Stephenville,2013-09-28,5
Stephenville,2013-10-02,1
Stephenville,2013-10-06,1
Stephenville,2013-10-08,3
Stephenville,2013-10-11,1
Stephenville,2013-10-12,1
Stephenville,2013-10-13,1
Stephenville,2013-10-14,1
Stephenville,2013-10-18,1
Stephenville,2013-10-20,1
Stephenville,2013-10-21,2
Stephenville,2013-10-22,1
Stephenville,2013-10-24,1
Stephenville,2013-10-25,5
Stephenville,2013-10-29,4
Stephenville,2013-10-30,1
Stephenville,2013-10-31,1
Stephenville,2013-11-01,4
Stephenville,2013-11-02,1
Stephenville,2013-11-04,1
Stephenville,2013-11-09,2
Stephenville,2013-11-10,3
Stephenville,2013-11-11,1
Stephenville,2013-11-12,1
Stephenville,2013-11-14,1
Stephenville,2013-11-15,1
Stephenville,2013-11-16,2
Stephenville,2013-11-17,2
Stephenville,2013-11-22,2
Stephenville,2013-11-23,2
Stephenville,2013-11-24,1
Stephenville,2013-11-25,3
Stephenville,2013-11-26,1
Stephenville,2013-11-28,4
Stephenville,2013-11-29,5
Stephenville,2013-12-01,1
Stephenville,2013-12-04,1
Stephenville,2013-12-06,5
Stephenville,2013-12-08,3
Stephenville,2013-12-09,5
Stephenville,2013-12-12,2
Stephenville,2013-12-14,4
Stephenville,2013-12-15,3
Stephenville,2013-12-16,2
Stephenville,2013-12-24,1
Stephenville,2014-01-03,1
Stephenville,2014-01-04,1
Stephenville,2014-01-05,1
Stephenville,2014-01-07,1
