KeyWord,Datetime,Count
vacation,2013-09-24,8
vacation,2013-09-25,8
vacation,2013-09-26,12
vacation,2013-09-27,3
vacation,2013-09-28,8
vacation,2013-09-29,559
vacation,2013-09-30,80
vacation,2013-10-01,29
vacation,2013-10-02,73
vacation,2013-10-03,21
vacation,2013-10-04,31
vacation,2013-10-05,19
vacation,2013-10-06,24
vacation,2013-10-07,25
vacation,2013-10-08,18
vacation,2013-10-09,16
vacation,2013-10-10,19
vacation,2013-10-11,9
vacation,2013-10-12,30
vacation,2013-10-13,28
vacation,2013-10-14,65
vacation,2013-10-15,1
vacation,2013-10-18,11
vacation,2013-10-19,11
vacation,2013-10-20,8
vacation,2013-10-21,12
vacation,2013-10-22,15
vacation,2013-10-23,10
vacation,2013-10-24,3
vacation,2013-10-25,4
vacation,2013-10-26,14
vacation,2013-10-27,6
vacation,2013-10-28,18
vacation,2013-10-29,8
vacation,2013-10-30,10
vacation,2013-10-31,6
vacation,2013-11-01,54
vacation,2013-11-02,3
vacation,2013-11-03,21
vacation,2013-11-04,22
vacation,2013-11-05,9
vacation,2013-11-06,16
vacation,2013-11-07,24
vacation,2013-11-08,17
vacation,2013-11-09,12
vacation,2013-11-10,7
vacation,2013-11-11,17
vacation,2013-11-12,7
vacation,2013-11-13,26
vacation,2013-11-14,14
vacation,2013-11-15,5
vacation,2013-11-16,9
vacation,2013-11-17,2
vacation,2013-11-18,10
vacation,2013-11-19,20
vacation,2013-11-20,46
vacation,2013-11-23,9
vacation,2013-11-24,3
vacation,2013-11-25,7
vacation,2013-11-26,8
vacation,2013-11-27,3
vacation,2013-11-28,3
vacation,2013-11-29,14
vacation,2013-11-30,10
vacation,2013-12-01,23
vacation,2013-12-02,16
vacation,2013-12-03,5
vacation,2013-12-04,10
vacation,2013-12-05,24
vacation,2013-12-06,15
vacation,2013-12-07,9
vacation,2013-12-08,4
vacation,2013-12-09,9
vacation,2013-12-10,8
vacation,2013-12-11,10
vacation,2013-12-12,10
vacation,2013-12-13,12
vacation,2013-12-14,10
vacation,2013-12-15,11
vacation,2013-12-16,6
vacation,2013-12-17,4
vacation,2013-12-18,13
vacation,2013-12-19,13
vacation,2013-12-23,4
vacation,2013-12-24,31
vacation,2013-12-25,9
vacation,2013-12-26,28
vacation,2013-12-27,3
vacation,2014-01-03,13
vacation,2014-01-04,19
vacation,2014-01-05,21
vacation,2014-01-06,18
vacation,2014-01-07,19
vacation,2014-01-08,17
